"1624006317261348864 2023-02-10 11:24:13 +0000 <jess_sosnoski> @CHRISsW0RLD @The_Trump_Train @dan_mcnichols @Atheen_ @thandar324 @V_Hawtmess1 @SheriCarter18 @DanielKlatt @NavinJohnson @tooosunny @StevieaB @jess_sosnoski @xephula @finaltelegraph @americadefiant #trump #freespeech #socialmedia #video #patriot Trump/patriot-friendly free speech social media &amp; video sites... -  https://t.co/zqpIQuTkmA
",Text,Positive Emojis,Negative Emojis,Sentiment Score,Sentiment
"1623412044832690182 2023-02-08 20:02:47 +0000 <Charles08758314> @LulaOficial @ricardostuckert Se a Russia pela Ucrania  passar presidente as tiranias vão improdir as democracias e os gvs fantoches vão ser instalados ja quase conseguiram com Donald trump uma polarização extrema que poderia levar uma guerra civil os Estados Unidos senhor coloque o Brasil na OTAN se garante
",charles se a russia pela ucrania passar presidente as tiranias vão improdir as democracias e os gvs fantoches vão ser instalados ja quase conseguiram com donald trump uma polarização extrema que poderia levar uma guerra civil os estados unidos senhor coloque o brasil na otan se garante,0,0,0.0,neutral
"1623430198870810630 2023-02-08 21:14:55 +0000 <JohnLun89808036> @DerrickEvans_WV TREASON FOR CONSPIRACY TO OVERTHROW THE PRESIDENT OF THE UNITED STATES,  DONALD J. TRUMP
",johnlun treason for conspiracy to overthrow the president of the united states donald j trump,0,0,-0.5423,negative
"1623325176459927554 2023-02-08 14:17:36 +0000 <TrueWilliams1> @AxePatriot @mitchellvii @SarahHuckabee @realDonaldTrump Yes, and yet she didn’t mention President Trump — by name — which in itself was disrespectful.   MAGA is watching. @realDonaldTrump is our ONLY CHOICE.   Betrayers can take notice. If @SarahHuckabee @GovRonDeSantis betray Trump — MAGA will return the favor and betray them.
",truewilliams yes and yet she didn’t mention president trump — by name — which in itself was disrespectful maga is watching is our only choice betrayers can take notice if betray trump — maga will return the favor and betray them,0,0,-0.6124,negative
"1623704231520632836 2023-02-09 15:23:50 +0000 <sirmaejor> This isn’t just a Biden Trump issue with Twitter censoring Americans this is a Government issue.  Stop trampling over free speech and violating the peoples right
",sirmaejor this isn’t just a biden trump issue with twitter censoring americans this is a government issue stop trampling over free speech and violating the peoples right,0,0,-0.34,negative
"1623689676488863745 2023-02-09 14:26:00 +0000 <AdrianC56075812> Trump Put Nearly $1 Million Of Donor Money Into His Own Pockets Since Leaving Office  https://t.co/QipUq6GCVJ via @Yahoo
",adrianc trump put nearly million of donor money into his own pockets since leaving office via,0,0,0.0,neutral
"1622945090850414593 2023-02-07 13:07:17 +0000 <TerraAustraIis> @SirKazamJeevi Donald be like, 'any time bro, do you want Stormy Daniel's number too'
",terraaustraiis donald be like any time bro do you want stormy daniels number too,0,0,0.4767,positive
"1623352979406598144 2023-02-08 16:08:05 +0000 <SocialismIsCrap> @NSFWPoliticsNow @manpreet_mba09 @greg_price11 Trump: would you close down the oil industry? Biden response: yes, I would transition away🤣🤣🤣🤣
",socialismiscrap trump would you close down the oil industry biden response yes i would transition away🤣🤣🤣🤣,4,0,4.4019,positive
"1623342771787513858 2023-02-08 15:27:31 +0000 <BobbaFettSlave1> @shawm711 @ZemanLynnZ @RepMTG People are not being open about their support for Donald Trump because you people are canceling anyone who openly supports him.  But, it’s ok.  When we cast our vote, it is done in private in our polling booth.
",bobbafettslave people are not being open about their support for donald trump because you people are canceling anyone who openly supports him but it’s ok when we cast our vote it is done in private in our polling booth,0,0,0.6597,positive
"1623342721950679042 2023-02-08 15:27:19 +0000 <NorthBelle4> @RicinCanada1 There are many who do ...  Sara Slanders, Big Marge, Boebert, Gym Jordan ... and TRUMP.🤮
",northbelle there are many who do sara slanders big marge boebert gym jordan and trump🤮,0,1,-1.0,negative
"1623348320331522049 2023-02-08 15:49:34 +0000 <AnarchistMary> @seanhannity Can you look into what the CIA know about the RNC hack? They were hacked at the same time as the DNC when Hillary’s emails were released. Ever since the RNC hack, the entire GOP has been in lock step with Donald Trump. What is Putin blackma
",anarchistmary can you look into what the cia know about the rnc hack they were hacked at the same time as the dnc when hillary’s emails were released ever since the rnc hack the entire gop has been in lock step with donald trump what is putin blackma,0,0,-0.4019,negative
"1623670892369793026 2023-02-09 13:11:21 +0000 <Patrick98608564> Trump Says He’ll Hand Over His DNA for E. Jean Carroll Case  https://t.co/0WVqj2WCFB
",patrick trump says he’ll hand over his dna for e jean carroll case,0,0,0.4939,positive
"1623702654403874817 2023-02-09 15:17:34 +0000 <CalpineCA> @The_Trump_Train 100%
",calpineca,0,0,0.0,neutral
"1622980219396145153 2023-02-07 15:26:52 +0000 <RafalDlaPolski5> @lukaszmejza Donald przyzwyczajony😂
",rafaldlapolski donald przyzwyczajony😂,1,0,1.0,positive
"1622905761050529792 2023-02-07 10:31:00 +0000 <AmericanVoice14> President Joe Biden Allegedly Goes After Donald Trump   https://t.co/X0QYlydfzc
",americanvoice president joe biden allegedly goes after donald trump,0,0,0.0,neutral
"1622983076581109766 2023-02-07 15:38:13 +0000 <Very_Honest_Man> @emdzejZS @donald_PL_ XD porównanie zajebiste, znikoma ilość robaczka vs mają że świerszczy. Kto będzie kontrolował miliony robali hodowlanych czym są karmione i czy nie mają pasożytów itp. Zero myślenia co chcą wprowadzić, ważne że barwnik pozyskuje się już od dawna z robaczka wiec w sumie nictakiego
",veryhonestman xd porównanie zajebiste znikoma ilość robaczka vs mają że świerszczy kto będzie kontrolował miliony robali hodowlanych czym są karmione i czy nie mają pasożytów itp zero myślenia co chcą wprowadzić ważne że barwnik pozyskuje się już od dawna z robaczka wiec w sumie nictakiego,0,0,0.5859,positive
"1623300725290721282 2023-02-08 12:40:27 +0000 <AnarchistMary> @VaticanNews @GSolidarityFund Can you look into what the CIA know about the RNC hack? They were hacked at the same time as the DNC when Hillary’s emails were released. Ever since the RNC hack, the entire GOP has been in lock step with Donald Trump. What is Putin blackmailing the GOP with? Please find out.
",anarchistmary can you look into what the cia know about the rnc hack they were hacked at the same time as the dnc when hillary’s emails were released ever since the rnc hack the entire gop has been in lock step with donald trump what is putin blackmailing the gop with please find out,0,0,-0.1027,negative
"1622982721646604289 2023-02-07 15:36:49 +0000 <Val65396983> @Fraesad @donald_PL_ Nie no, mamy wysoką inflację, tak z 3.50zł bym obstawiał...
",val nie no mamy wysoką inflację tak z zł bym obstawiał,0,0,-0.296,negative
"1624018081017221120 2023-02-10 12:10:57 +0000 <beachkatie> Mike Pence subpoenaed by special counsel overseeing Trump probes: Sources - ABC News  https://t.co/NSQVVXIUC2
",beachkatie mike pence subpoenaed by special counsel overseeing trump probes sources abc news,0,0,0.4019,positive
"1622918176047792130 2023-02-07 11:20:20 +0000 <Mariade85620340> Vanessa Aly Vanessa Aly Colby Thompson Donald Babbitt #POS #投资  https://t.co/YmthoNu0kQ
",mariade vanessa aly vanessa aly colby thompson donald babbitt pos 投资,0,0,0.0,neutral
"1622980300878880768 2023-02-07 15:27:11 +0000 <AnarchistMary> @USRepKeating Can you look into what the CIA know about the RNC hack? They were hacked at the same time as the DNC when Hillary’s emails were released. Ever since the RNC hack, the entire GOP has been in lock step with Donald Trump. What is Putin blackmailing the GOP with? Please find out.
",anarchistmary can you look into what the cia know about the rnc hack they were hacked at the same time as the dnc when hillary’s emails were released ever since the rnc hack the entire gop has been in lock step with donald trump what is putin blackmailing the gop with please find out,0,0,-0.1027,negative
